neighbourhood_group,neighbourhood,city
,EIGHTH WARD,Albany
,ELEVENTH WARD,Albany
,FIFTEENTH WARD,Albany
,FIFTH WARD,Albany
,FIRST WARD,Albany
,FOURTEENTH WARD,Albany
,FOURTH WARD,Albany
,NINTH WARD,Albany
,SECOND WARD,Albany
,SEVENTH WARD,Albany
,SIXTH WARD,Albany
,TENTH WARD,Albany
,THIRD WARD,Albany
,THIRTEENTH WARD,Albany
,TWELFTH WARD,Albany
,,Albany
,Bijlmer-Centrum,Amsterdam
,Bijlmer-Oost,Amsterdam
,Bos en Lommer,Amsterdam
,Buitenveldert - Zuidas,Amsterdam
,Centrum-Oost,Amsterdam
,Centrum-West,Amsterdam
,De Aker - Nieuw Sloten,Amsterdam
,De Baarsjes - Oud-West,Amsterdam
,De Pijp - Rivierenbuurt,Amsterdam
,Gaasperdam - Driemond,Amsterdam
,Geuzenveld - Slotermeer,Amsterdam
,IJburg - Zeeburgereiland,Amsterdam
,Noord-Oost,Amsterdam
,Noord-West,Amsterdam
,Oostelijk Havengebied - Indische Buurt,Amsterdam
,Osdorp,Amsterdam
,Oud-Noord,Amsterdam
,Oud-Oost,Amsterdam
,Slotervaart,Amsterdam
,Watergraafsmeer,Amsterdam
,Westerpark,Amsterdam
,Zuid,Amsterdam
,Amandus - Atheneum,Antwerp
,Borgerhout Extra Muros,Antwerp
,Borgerhout Intra Muros Noord,Antwerp
,Borgerhout Intra Muros Zuid,Antwerp
,Brederode,Antwerp
,Centraal Station,Antwerp
,Dam,Antwerp
,Deurne Dorp - Gallifort,Antwerp
,Deurne Noord,Antwerp
,Deurne Oost,Antwerp
,Deurne Vlieghaven,Antwerp
,Deurne Zuid Oost,Antwerp
,Deurne Zuid West,Antwerp
,Donk,Antwerp
,Eilandje,Antwerp
,Ekeren Centrum,Antwerp
,Groenenhoek,Antwerp
,Haringrode,Antwerp
,Harmonie,Antwerp
,Haven Antwerpen,Antwerp
,Haven Bezali,Antwerp
,Historisch Centrum,Antwerp
,Hoboken - Centrum,Antwerp
,Hoboken - Noord,Antwerp
,Hoboken - West,Antwerp
,Hoboken - Zuidoost,Antwerp
,Hoogte,Antwerp
,Kiel,Antwerp
,Koornbloem,Antwerp
,Kruininge - Bremweide,Antwerp
,Lambrechtshoeken,Antwerp
,Leugenberg,Antwerp
,Lillo,Antwerp
,Linkeroever,Antwerp
,Luchtbal,Antwerp
,Mariaburg,Antwerp
,Markgrave,Antwerp
,Merksem - Heide,Antwerp
,Middelheim,Antwerp
,Neerland,Antwerp
,Nieuwdreef,Antwerp
,Nieuw - Kwartier Oost,Antwerp
,Nieuw - Kwartier West,Antwerp
,Nieuw - Zuid,Antwerp
,Oosterveld - Elsdonk,Antwerp
,Oud - Berchem,Antwerp
,Oud - Merksem,Antwerp
,Petroleum - Zuid,Antwerp
,Polder,Antwerp
,Rivierenhof,Antwerp
,Schoonbroek-Rozemaai,Antwerp
,Sint-Andries,Antwerp
,Stadspark,Antwerp
,Stuivenberg,Antwerp
,Tentoonstellingswijk,Antwerp
,Theaterbuurt-Meir,Antwerp
,Tuinwijk,Antwerp
,Universiteitsbuurt,Antwerp
,Valaar,Antwerp
,Wilrijk Centrum,Antwerp
,Zuid,Antwerp
,Zurenborg,Antwerp
,28704,Asheville
,28715,Asheville
,28732,Asheville
,28801,Asheville
,28803,Asheville
,28804,Asheville
,28805,Asheville
,28806,Asheville
,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,Athens
,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,Athens
,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Athens
,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,Athens
,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,Athens
,ΑΚΡΟΠΟΛΗ,Athens
